                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65167,                0.63319,                 1.2402,                      1,                      1,                  0.995,                0.46494,                 1.3605,                 3.9732,                 4.2869,             0.00045745,             0.00045745,             0.00045745
                     37,                 0.7205,                0.62578,                  1.297,                0.96065,                      1,                  0.995,                0.61685,                 1.5032,                 1.6406,                 4.6112,             0.00046339,             0.00046339,             0.00046339
                     38,                0.66543,                0.61512,                 1.1747,                0.96065,                      1,                  0.995,                0.61685,                 1.5032,                 1.6406,                 4.6112,             0.00046894,             0.00046894,             0.00046894
                     39,                0.62596,                0.68687,                  1.151,                0.61329,                      1,                  0.945,                0.51682,                 1.4497,                 2.3173,                 4.3948,             0.00047409,             0.00047409,             0.00047409
                     40,                0.59992,                0.57435,                 1.1641,                0.61329,                      1,                  0.945,                0.51682,                 1.4497,                 2.3173,                 4.3948,             0.00047884,             0.00047884,             0.00047884
                     41,                0.68162,                0.65696,                 1.2681,                   0.75,                   0.75,                0.78667,                0.34405,                 1.7794,                 9.1773,                 6.0263,              0.0004832,              0.0004832,              0.0004832
                     42,                0.56162,                 0.6176,                 1.1811,                   0.75,                   0.75,                0.78667,                0.34405,                 1.7794,                 9.1773,                 6.0263,             0.00048716,             0.00048716,             0.00048716
                     43,                0.58855,                0.64634,                  1.169,                    0.8,                      1,                  0.895,                0.32305,                 2.0671,                 9.2748,                 6.8185,             0.00049073,             0.00049073,             0.00049073
                     44,                0.57008,                0.60072,                 1.1454,                    0.8,                      1,                  0.895,                0.32305,                 2.0671,                 9.2748,                 6.8185,              0.0004939,              0.0004939,              0.0004939
                     45,                 0.5355,                0.52909,                  1.109,                0.61518,                      1,                  0.945,                0.38384,                 1.8031,                 4.7719,                 5.9428,             0.00049667,             0.00049667,             0.00049667
                     46,                0.65643,                0.62339,                 1.1991,                0.61518,                      1,                  0.945,                0.38384,                 1.8031,                 4.7719,                 5.9428,             0.00049905,             0.00049905,             0.00049905
                     47,                 0.6098,                0.59971,                 1.0906,                0.91081,                   0.75,                0.91167,                0.22004,                 2.2676,                 3.0844,                 5.3557,             0.00050103,             0.00050103,             0.00050103
                     48,                0.58925,                0.55076,                  1.155,                0.91081,                   0.75,                0.91167,                0.22004,                 2.2676,                 3.0844,                 5.3557,             0.00050262,             0.00050262,             0.00050262
                     49,                 0.5357,                 0.4862,                  1.031,                 0.3592,                    0.5,                0.56097,                0.17431,                 1.8742,                 5.8442,                 4.6379,             0.00050381,             0.00050381,             0.00050381
                     50,                0.70292,                0.59169,                  1.245,                 0.3592,                    0.5,                0.56097,                0.17431,                 1.8742,                 5.8442,                 4.6379,              0.0005046,              0.0005046,              0.0005046
                     51,                0.59693,                0.47137,                 1.2041,                0.13842,                      1,                0.17663,                0.08992,                 1.8753,                 20.791,                 5.4771,               0.000505,               0.000505,               0.000505
                     52,                0.54244,                0.48801,                 1.0866,                0.13842,                      1,                0.17663,                0.08992,                 1.8753,                 20.791,                 5.4771,               0.000505,               0.000505,               0.000505
                     53,                0.51896,                0.50645,                 1.0882,                0.13842,                      1,                0.17663,                0.08992,                 1.8753,                 20.791,                 5.4771,             0.00050461,             0.00050461,             0.00050461
                     54,                0.49057,                0.48275,                 1.1101,                0.05267,                      1,                0.05649,                0.02757,                 1.8032,                 41.485,                 4.7785,             0.00050382,             0.00050382,             0.00050382
                     55,                0.50674,                0.45386,                 1.1433,                0.05267,                      1,                0.05649,                0.02757,                 1.8032,                 41.485,                 4.7785,             0.00050263,             0.00050263,             0.00050263
                     56,                0.47456,                0.44299,                 1.0502,                0.05267,                      1,                0.05649,                0.02757,                 1.8032,                 41.485,                 4.7785,             0.00050105,             0.00050105,             0.00050105
                     57,                0.52592,                0.52006,                 1.1321,                0.07002,                      1,                0.08122,                0.04575,                 1.2683,                  26.71,                 3.6845,             0.00049907,             0.00049907,             0.00049907
                     58,                0.54045,                0.53064,                 1.1276,                0.07002,                      1,                0.08122,                0.04575,                 1.2683,                  26.71,                 3.6845,              0.0004967,              0.0004967,              0.0004967
                     59,                0.51428,                 0.4484,                 1.1069,                0.07002,                      1,                0.08122,                0.04575,                 1.2683,                  26.71,                 3.6845,             0.00049393,             0.00049393,             0.00049393
                     60,                0.63823,                 0.5962,                 1.2016,                 0.1561,                   0.75,                0.22625,                0.13398,                 1.1564,                 9.9016,                 3.0314,             0.00049076,             0.00049076,             0.00049076
                     61,                0.47029,                0.50764,                 1.0601,                 0.1561,                   0.75,                0.22625,                0.13398,                 1.1564,                 9.9016,                 3.0314,              0.0004872,              0.0004872,              0.0004872
                     62,                0.50699,                0.47699,                  1.085,                 0.1561,                   0.75,                0.22625,                0.13398,                 1.1564,                 9.9016,                 3.0314,             0.00048324,             0.00048324,             0.00048324
                     63,                0.50866,                0.49836,                 1.1149,                0.18037,                   0.75,                0.22192,                0.08473,                 1.5844,                 9.5779,                 3.7682,             0.00047889,             0.00047889,             0.00047889
                     64,                0.39141,                0.36391,                 1.0149,                0.18037,                   0.75,                0.22192,                0.08473,                 1.5844,                 9.5779,                 3.7682,             0.00047414,             0.00047414,             0.00047414
                     65,                0.45776,                0.45449,                 1.0618,                0.18037,                   0.75,                0.22192,                0.08473,                 1.5844,                 9.5779,                 3.7682,             0.00046899,             0.00046899,             0.00046899
                     66,                0.49517,                0.46962,                 1.0868,                0.36261,                      1,                0.37028,                0.14377,                 1.4375,                 7.1655,                 2.8834,             0.00046345,             0.00046345,             0.00046345
                     67,                0.37037,                0.36243,                0.96248,                0.36261,                      1,                0.37028,                0.14377,                 1.4375,                 7.1655,                 2.8834,             0.00045751,             0.00045751,             0.00045751
                     68,                0.54615,                0.55387,                 1.1445,                0.36261,                      1,                0.37028,                0.14377,                 1.4375,                 7.1655,                 2.8834,             0.00045118,             0.00045118,             0.00045118
                     69,                0.32847,                0.33784,                 0.9968,                0.39651,                   0.75,                0.43679,                0.23749,                 1.3749,                 3.0348,                 2.1337,             0.00044445,             0.00044445,             0.00044445
                     70,                 0.5247,                0.41217,                 1.1131,                0.39651,                   0.75,                0.43679,                0.23749,                 1.3749,                 3.0348,                 2.1337,             0.00043732,             0.00043732,             0.00043732
                     71,                0.47373,                0.45337,                 1.0974,                0.39651,                   0.75,                0.43679,                0.23749,                 1.3749,                 3.0348,                 2.1337,              0.0004298,              0.0004298,              0.0004298
                     72,                0.58526,                0.50451,                 1.1485,                      1,                0.99542,                  0.995,                0.53755,                 1.0726,                 1.3009,                 2.1506,             0.00042188,             0.00042188,             0.00042188
                     73,                0.38223,                0.36345,                 1.0242,                      1,                0.99542,                  0.995,                0.53755,                 1.0726,                 1.3009,                 2.1506,             0.00041357,             0.00041357,             0.00041357
                     74,                0.35972,                0.33879,                 1.0274,                      1,                0.99542,                  0.995,                0.53755,                 1.0726,                 1.3009,                 2.1506,             0.00040486,             0.00040486,             0.00040486
                     75,                0.49678,                 0.4725,                 1.1551,                      1,                0.95113,                  0.995,                0.63329,                 1.0036,                0.87789,                 2.2659,             0.00039575,             0.00039575,             0.00039575
                     76,                0.48864,                0.42239,                 1.1385,                      1,                0.95113,                  0.995,                0.63329,                 1.0036,                0.87789,                 2.2659,             0.00038625,             0.00038625,             0.00038625
                     77,                0.48769,                0.48398,                 1.1126,                      1,                0.95113,                  0.995,                0.63329,                 1.0036,                0.87789,                 2.2659,             0.00037635,             0.00037635,             0.00037635
                     78,                0.59587,                0.56503,                 1.2001,                0.97798,                      1,                  0.995,                  0.628,                 1.0505,                0.79493,                 2.2723,             0.00036606,             0.00036606,             0.00036606
                     79,                0.44461,                0.43826,                  1.065,                0.97798,                      1,                  0.995,                  0.628,                 1.0505,                0.79493,                 2.2723,             0.00035537,             0.00035537,             0.00035537
                     80,                 0.3869,                0.32113,                 1.0456,                0.97798,                      1,                  0.995,                  0.628,                 1.0505,                0.79493,                 2.2723,             0.00034428,             0.00034428,             0.00034428
                     81,                0.38101,                0.36011,                 1.0209,                0.98095,                      1,                  0.995,                 0.6971,                0.97375,                0.85378,                 1.9706,              0.0003328,              0.0003328,              0.0003328
                     82,                0.46573,                0.39465,                 1.1076,                0.98095,                      1,                  0.995,                 0.6971,                0.97375,                0.85378,                 1.9706,             0.00032092,             0.00032092,             0.00032092
                     83,                0.44916,                0.38755,                 1.0504,                0.98095,                      1,                  0.995,                 0.6971,                0.97375,                0.85378,                 1.9706,             0.00030865,             0.00030865,             0.00030865
                     84,                0.36643,                0.33816,                 1.0205,                0.97522,                      1,                  0.995,                0.59592,                 1.1876,                 1.0966,                 2.1732,             0.00029598,             0.00029598,             0.00029598
                     85,                0.38579,                0.29575,                 1.0064,                0.97522,                      1,                  0.995,                0.59592,                 1.1876,                 1.0966,                 2.1732,             0.00028291,             0.00028291,             0.00028291
                     86,                0.43245,                0.33769,                 1.0485,                0.97522,                      1,                  0.995,                0.59592,                 1.1876,                 1.0966,                 2.1732,             0.00026945,             0.00026945,             0.00026945
                     87,                0.48176,                0.48372,                 1.0962,                0.97522,                      1,                  0.995,                0.59592,                 1.1876,                 1.0966,                 2.1732,             0.00025559,             0.00025559,             0.00025559
                     88,                0.39268,                0.33087,                 1.0288,                0.93577,                   0.75,                0.91167,                0.40604,                 1.3078,                 1.6493,                 2.2517,             0.00024134,             0.00024134,             0.00024134
                     89,                0.46975,                0.40214,                 1.0669,                0.93577,                   0.75,                0.91167,                0.40604,                 1.3078,                 1.6493,                 2.2517,             0.00022669,             0.00022669,             0.00022669
                     90,                0.51492,                0.42811,                  1.119,                0.93577,                   0.75,                0.91167,                0.40604,                 1.3078,                 1.6493,                 2.2517,             0.00021164,             0.00021164,             0.00021164
                     91,                0.48431,                 1.0527,                 1.1494,                0.93577,                   0.75,                0.91167,                0.40604,                 1.3078,                 1.6493,                 2.2517,              0.0001962,              0.0001962,              0.0001962
                     92,                0.77622,                 1.4142,                 1.4124,                0.74594,                      1,                  0.945,                0.61328,                 1.3856,                 1.1289,                 2.4639,             0.00018036,             0.00018036,             0.00018036
                     93,                0.41967,                0.74844,                 1.1195,                0.74594,                      1,                  0.945,                0.61328,                 1.3856,                 1.1289,                 2.4639,             0.00016413,             0.00016413,             0.00016413
                     94,                0.33034,                0.62153,                 1.0159,                0.74594,                      1,                  0.945,                0.61328,                 1.3856,                 1.1289,                 2.4639,              0.0001475,              0.0001475,              0.0001475
                     95,                0.23718,                0.43803,                0.96016,                0.74594,                      1,                  0.945,                0.61328,                 1.3856,                 1.1289,                 2.4639,             0.00013047,             0.00013047,             0.00013047
                     96,                0.56501,                0.81136,                 1.2756,                0.98722,                      1,                  0.995,                0.65055,                 1.5188,                0.79391,                 2.9042,             0.00011305,             0.00011305,             0.00011305
                     97,                0.26644,                0.40553,                 1.0234,                0.98722,                      1,                  0.995,                0.65055,                 1.5188,                0.79391,                 2.9042,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                0.38273,                0.69998,                 1.0534,                0.98722,                      1,                  0.995,                0.65055,                 1.5188,                0.79391,                 2.9042,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 0.2705,                0.43038,                 1.0004,                0.98722,                      1,                  0.995,                0.65055,                 1.5188,                0.79391,                 2.9042,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                0.34604,                0.59992,                 1.0441,                0.98518,                      1,                  0.995,                0.64748,                 1.5063,                0.66131,                 3.0917,             3.9402e-05,             3.9402e-05,             3.9402e-05
